,Game Number,Qwen Color,Best Move,Best Move Score,Qwen Move,Qwen Move Score,Score Difference,Average Score Difference Black
51,2,black,b8c6,32.4,Nc6,31.65,0.75,-1356.904
52,2,black,d8g5,-458.4,Nge7,-212.45,-245.95,-1356.904
53,2,black,c6d4,-101.9,Ng6,-72.75,-29.15000000000001,-1356.904
54,2,black,d8g5,-431.0,h5,-123.05,-307.95,-1356.904
55,2,black,d8d7,14.0,Bxd7,21.7,-7.699999999999999,-1356.904
56,2,black,f8b4,36.1,Be6,50.0,-13.9,-1356.904
57,2,black,d8g5,-585.1,f5,-78.05,-507.05,-1356.904
58,2,black,f5e4,-341.9,h4,-183.8,-158.09999999999997,-1356.904
59,2,black,g6f4,-617.2,h3,-233.0,-384.2000000000001,-1356.904
60,2,black,h3g2,-670.4,b6,-516.5,-153.89999999999998,-1356.904
61,2,black,f8g7,-514.7,Kf7,-137.4,-377.30000000000007,-1356.904
62,2,black,h3g2,-571.1,Rg8,-488.05,-83.05000000000001,-1356.904
63,2,black,h3g2,-434.1,Rc8,-106.8,-327.3,-1356.904
64,2,black,h3g2,-563.1,fxe4,-556.25,-6.850000000000023,-1356.904
65,2,black,h3g2,-734.4,Bf5,-636.4,-98.0,-1356.904
66,2,black,h3g2,-675.6,Rh8,-467.85,-207.75,-1356.904
67,2,black,f5e6,-528.9,Bxc5,-44.6,-484.2999999999999,-1356.904
68,2,black,h3g2,-1190.3,Rxf8,-906.75,-283.54999999999995,-1356.904
69,2,black,d8d4,-819.7,Qe7,-710.95,-108.75,-1356.904
70,2,black,e4f3,-1199.7,Qg5,-983.6,-216.1,-1356.904
71,2,black,c5f2,-1097.7,Qxg2,-917.35,-180.35,-1356.904
72,2,black,f7f6,-864.6,Ke8,-3.05,-861.5500000000001,-1356.904
73,2,black,g2g1,-19999.0,Rf6,-10523.8,-9475.2,-1356.904
74,2,black,g6h8,-19993.9,Nf8,-10375.2,-9618.7,-1356.904
75,2,black,f8g6,-968.5,Ng6,-956.0,-12.5,-1356.904
76,2,black,g6h8,-18118.1,Ke7,-9687.45,-8430.649999999998,-1356.904
77,2,black,g2g1,-19999.0,a5,-10605.5,-9393.5,-1356.904
78,2,black,g2g1,-19999.0,Qg4,-9804.2,-10194.8,-1356.904
79,2,black,f6f8,-687.0,Kxf8,-678.9,-8.100000000000023,-1356.904
80,2,black,f5g4,-656.1,Rf7,-328.3,-327.8,-1356.904
81,2,black,f5g6,-217.5,Rf6,347.6,-565.1,-1356.904
82,2,black,f8g8,-454.2,Kf7,-29.95,-424.25,-1356.904
83,2,black,f6g6,8.3,Be3,356.8,-348.5,-1356.904
84,2,black,f5h7,308.0,Bxh7,311.55,-3.5500000000000114,-1356.904
85,2,black,e3f2,-661.0,Bxd4,-626.55,-34.450000000000045,-1356.904
86,2,black,d4a1,-665.5,Be3,-120.05,-545.45,-1356.904
87,2,black,e3f2,-550.1,Bf5,-144.05,-406.05,-1356.904
88,2,black,e3g5,40.6,Bxe6,225.05,-184.45,-1356.904
89,2,black,e3d4,-740.9,Rxf2,-434.65,-306.25,-1356.904
90,2,black,f2h2,-753.6,Bf5,-677.65,-75.95000000000005,-1356.904
91,2,black,e3d4,-758.6,Rf1+,-391.95,-366.65,-1356.904
92,2,black,e3d4,-659.5,Bf4,-136.0,-523.5,-1356.904
93,2,black,f1h1,-19989.0,Bh7,-9811.4,-10177.6,-1356.904
94,2,black,f1h1,-568.5,Rf3,-276.4,-292.1,-1356.904
95,2,black,f4h2,-418.3,Rg3,-8.45,-409.85,-1356.904
96,2,black,g3g2,-689.4,Rg1,-131.1,-558.3,-1356.904
97,2,black,g1g2,-759.9,Kg6,-632.25,-127.64999999999998,-1356.904
98,2,black,g1h1,-599.9,Rg2+,-597.9,-2.0,-1356.904
99,2,black,g2h2,-572.3,Rxh2,-581.55,9.25,-1356.904
100,3,black,e7e5,31.6,e5,33.0,-1.3999999999999986,-43.106
101,3,black,g8f6,43.3,Nc6,36.2,7.099999999999994,-43.106
102,3,black,c6e5,-294.3,Nxe5,-291.3,-3.0,-43.106
103,3,black,e5g6,-308.6,Nf3+,-25.65,-282.95000000000005,-43.106
104,3,black,c7c6,263.2,Be7,290.9,-27.69999999999999,-43.106
105,3,black,e8f7,-583.5,Kxf7,-584.15,0.6499999999999773,-43.106
106,3,black,d7d6,-634.3,c6,-648.95,14.650000000000093,-43.106
107,3,black,d8e7,-646.4,Nxf6,-574.3,-72.10000000000002,-43.106
108,3,black,d8e7,-743.1,Qxe7,-740.9,-2.2000000000000455,-43.106
109,3,black,e7e4,-806.0,Rg8,-763.6,-42.39999999999998,-43.106
110,3,black,e7e4,-836.4,Rh8,-790.7,-45.69999999999993,-43.106
111,3,black,e7e4,-832.6,Rg8,-766.8,-65.80000000000007,-43.106
112,3,black,e7e4,-862.5,Rh8,-803.85,-58.64999999999998,-43.106
113,3,black,e7e4,-821.3,Rg8,-758.1,-63.19999999999993,-43.106
114,3,black,e7e4,-840.1,Rh8,-791.8,-48.30000000000007,-43.106
115,3,black,e7e4,-801.1,Rg8,-759.25,-41.85000000000002,-43.106
116,3,black,f7e8,-737.8,Rh8,-737.85,0.0500000000000682,-43.106
117,4,black,e7e5,32.4,e5,31.6,0.7999999999999972,-513.081
118,4,black,b8c6,29.0,Nc6,30.25,-1.25,-513.081
119,4,black,c6e5,-295.8,Ba3,134.45,-430.25,-513.081
120,4,black,a3e7,218.0,Qg5,395.35,-177.35000000000002,-513.081
121,4,black,a3c5,232.7,Nge7,398.1,-165.40000000000003,-513.081
122,4,black,e7f5,126.3,b5,278.2,-151.89999999999998,-513.081
123,4,black,a3e7,160.7,Nxe7,351.2,-190.5,-513.081
124,4,black,g5g2,-320.2,Bd6,-130.9,-189.3,-513.081
125,4,black,e8f7,-322.7,Kxf7,-322.0,-0.6999999999999886,-513.081
126,4,black,h8f8,-397.0,Bg3,-69.5,-327.5,-513.081
127,4,black,g5h5,-792.8,Qxh5,-789.7,-3.099999999999909,-513.081
128,4,black,g3d6,-852.3,Ng6,-785.45,-66.84999999999991,-513.081
129,4,black,h5h2,-865.4,Bd6,-882.0,16.600000000000023,-513.081
130,4,black,g6e7,-1003.6,a6,-930.15,-73.45000000000005,-513.081
131,4,black,h8g8,-1033.0,Rxg8,-1031.3,-1.7000000000000457,-513.081
132,4,black,g6h4,-1075.6,Nh4,-1072.8,-2.7999999999999545,-513.081
133,4,black,h4g2,-19997.0,Rh8,-10543.8,-9453.2,-513.081
134,4,black,h4g2,-19997.0,Bf4,-10540.85,-9456.15,-513.081
135,4,black,h4g2,-1147.0,Qe2+,-905.3,-241.70000000000005,-513.081
136,4,black,c8b7,-654.9,Bxd6,-653.3,-1.6000000000000227,-513.081
137,4,black,h4g2,-760.4,Bg3,-491.6,-268.79999999999995,-513.081
138,4,black,g3e5,-672.1,Ng6,-488.45,-183.65000000000003,-513.081
139,4,black,g3h4,-727.9,Rg8,-582.05,-145.85000000000002,-513.081
140,4,black,g3e5,-633.9,Bd6,-632.9,-1.0,-513.081
141,4,black,g8e8,-680.9,Rf8,-675.7,-5.199999999999932,-513.081
142,4,black,f7g8,-739.4,Rh8,-685.85,-53.549999999999955,-513.081
143,4,black,h7h6,-687.0,Rg8,-645.4,-41.60000000000002,-513.081
144,4,black,h7g6,-744.0,Rxh8,-572.4,-171.60000000000002,-513.081
145,4,black,f7g7,-647.6,Kf8,-410.45,-237.15000000000003,-513.081
146,4,black,h8g8,-674.5,Kf7,-84.35,-590.15,-513.081
147,4,black,f7g7,504.1,Bf4,572.15,-68.04999999999995,-513.081
148,4,black,f7g8,-148.0,Bxd2+,119.35,-267.35,-513.081
149,4,black,f7g8,359.5,Bb7,547.6,-188.1,-513.081
150,4,black,a8g8,7.8,Rxe8,365.05,-357.25,-513.081
151,4,black,e8e5,3.3,Re6,228.5,-225.2,-513.081
152,4,black,e6e5,44.3,Bg2,234.4,-190.1,-513.081
153,4,black,d2c1,363.0,Rf6,595.5,-232.5,-513.081
154,4,black,f7g6,803.8,Kg6,799.75,4.0499999999999545,-513.081
155,4,black,g2f3,718.7,Rxf2+,806.85,-88.14999999999998,-513.081
156,4,black,g6g7,442.7,Bh6,588.65,-145.95,-513.081
157,4,black,g6f7,369.9,Kh7,393.4,-23.5,-513.081
158,4,black,h7h8,51.3,Kg6,387.9,-336.59999999999997,-513.081
159,4,black,g6g7,738.8,Kf5,808.8,-70.0,-513.081
160,4,black,f5e5,697.8,Kxe5,698.0,-0.2000000000000454,-513.081
161,4,black,g2e4,520.2,Bh1,623.75,-103.54999999999995,-513.081
162,4,black,h1e4,8.2,Bg2,246.05,-237.85,-513.081
163,4,black,g2d5,0.5,Kf6,341.95,-341.45,-513.081
164,4,black,f6e6,699.1,Rc2,812.95,-113.85000000000002,-513.081
165,4,black,c2f2,737.0,b4,799.7,-62.700000000000045,-513.081
166,4,black,g2e4,875.5,Rxc1,865.4,10.100000000000025,-513.081
167,5,black,c7c5,35.0,e5,31.9,3.1000000000000014,-1059.715
168,5,black,b8c6,33.8,Nc6,29.45,4.349999999999998,-1059.715
169,5,black,c6e5,-294.4,Nxe5,-295.65,1.25,-1059.715
170,5,black,e5g6,-303.9,Ba3,-40.55,-263.34999999999997,-1059.715
171,5,black,a3b4,-289.1,Nf6,-57.65,-231.45,-1059.715
172,5,black,a3c1,-364.0,Nxd5,-73.6,-290.4,-1059.715
173,5,black,a3c1,-360.5,c5,4.95,-365.45,-1059.715
174,5,black,d5c7,-349.6,Nxc7+,-347.75,-1.8500000000000227,-1059.715
175,5,black,a3b2,-841.0,Bb4,-590.95,-250.04999999999995,-1059.715
176,5,black,c5d4,-858.3,Qf6,-730.35,-127.94999999999992,-1059.715
177,5,black,b4c5,-862.6,d5,-666.2,-196.4,-1059.715
178,5,black,b4d6,-945.3,b6,-709.1,-236.19999999999993,-1059.715
179,5,black,d5e4,-432.9,Bxc3,-57.8,-375.1,-1059.715
180,5,black,f6d8,-352.9,Rg8,125.7,-478.6,-1059.715
181,5,black,e8e7,-476.7,Bf5,86.2,-562.9,-1059.715
182,5,black,c3a1,648.7,Bc8,765.7,-117.0,-1059.715
183,5,black,c3d4,738.7,Rh8,794.85,-56.14999999999998,-1059.715
184,5,black,e8e7,732.7,Rg8,819.0,-86.29999999999995,-1059.715
185,5,black,c3a1,604.8,Bxf5,716.2,-111.40000000000008,-1059.715
186,5,black,c3a1,542.7,Bc8,669.7,-127.0,-1059.715
187,5,black,c3a1,661.3,Rf8,796.8,-135.5,-1059.715
188,5,black,e5d3,565.7,Bf5,773.0,-207.29999999999995,-1059.715
189,5,black,g7f6,972.3,gxf6,979.35,-7.050000000000068,-1059.715
190,5,black,e5d3,800.1,Ng4,901.65,-101.54999999999995,-1059.715
191,5,black,g4e3,878.2,Nxe5,896.0,-17.799999999999955,-1059.715
192,5,black,c3a1,740.7,Kd7,853.35,-112.64999999999998,-1059.715
193,5,black,c3a1,653.9,Nd3+,802.7,-148.80000000000007,-1059.715
194,5,black,f8e8,762.1,Bxd2+,897.1,-135.0,-1059.715
195,5,black,a8e8,1399.1,Bb4,7841.75,-6442.65,-1059.715
196,5,black,d7c6,1338.5,Ke8,10668.25,-9329.75,-1059.715
197,5,black,b4c5,811.1,Rd8,10405.05,-9593.95,-1059.715
198,5,black,b4e1,-20001.0,Bxe1+,-1.0,-20000.0,-1059.715
199,5,black,e1c3,547.9,Rd7,693.1,-145.20000000000005,-1059.715
200,5,black,e8d7,768.7,Kd8,790.8,-22.09999999999991,-1059.715
201,5,black,e1c3,801.7,Bd2,825.8,-24.09999999999991,-1059.715
202,5,black,d2c3,825.9,Bf4,823.15,2.75,-1059.715
203,5,black,f8e8,723.2,Ke8,822.5,-99.29999999999995,-1059.715
204,5,black,f4d6,761.2,Kd7,746.05,15.150000000000093,-1059.715
205,5,black,f4d6,700.4,Bh6,734.45,-34.05000000000007,-1059.715
206,5,black,d7d6,732.6,f5,766.6,-34.0,-1059.715
207,5,black,f8g8,465.5,Rxg8,460.3,5.199999999999989,-1059.715
208,5,black,g8c8,473.9,Rg3,506.05,-32.150000000000034,-1059.715
209,5,black,g3g6,518.5,Rxf3+,649.45,-130.95000000000005,-1059.715
210,5,black,h6e3,388.0,Rf1+,599.95,-211.95000000000005,-1059.715
211,5,black,h6f4,486.3,Kc8,684.4,-198.09999999999997,-1059.715
212,5,black,h6f4,-272.7,Ra1,318.85,-591.55,-1059.715
213,5,black,c8d7,524.6,Kd7,546.5,-21.899999999999977,-1059.715
214,5,black,a1h1,-228.4,Kc6,221.15,-449.55,-1059.715
215,5,black,a1h1,-232.5,Bf4+,97.8,-330.3,-1059.715
216,5,black,a1h1,-331.8,Kd5,251.0,-582.8,-1059.715
217,6,black,e7e5,38.7,e5,34.95,3.75,-2974.956
218,6,black,b8c6,29.8,Nc6,30.25,-0.4499999999999993,-2974.956
219,6,black,c6e5,-293.3,Nxe5,-294.25,0.9499999999999886,-2974.956
220,6,black,e5g6,-301.6,Nf6,-243.05,-58.55000000000001,-2974.956
221,6,black,d7d5,-348.1,Nxe4,-117.85,-230.25000000000003,-2974.956
222,6,black,d7d5,-32.9,Nxd3+,214.8,-247.7,-2974.956
223,6,black,d7d5,453.9,Be7,478.95,-25.05000000000001,-2974.956
224,6,black,d7d5,477.6,Bd6,573.6,-96.0,-2974.956
225,6,black,d6b4,518.7,Be5,526.35,-7.649999999999977,-2974.956
226,6,black,e8g8,453.7,d6,460.65,-6.949999999999989,-2974.956
227,6,black,e5c3,-287.8,Qf6,71.6,-359.4,-2974.956
228,6,black,e5c3,-494.0,Qg5,97.8,-591.8,-2974.956
229,6,black,e5c3,-577.6,Rg8,84.95,-662.5500000000001,-2974.956
230,6,black,e5c3,-613.7,Qf5,15.9,-629.6,-2974.956
231,6,black,c8f5,631.8,Bxf5,631.75,0.0499999999999545,-2974.956
232,6,black,g7h6,528.1,Bxf6,620.35,-92.25,-2974.956
233,6,black,e8c8,661.2,Bg5,806.4,-145.19999999999993,-2974.956
234,6,black,g5f4,655.5,Rh8,788.0,-132.5,-2974.956
235,6,black,e8c8,526.1,Rg8,687.05,-160.94999999999993,-2974.956
236,6,black,g5f6,876.2,Rb8,1035.35,-159.14999999999986,-2974.956
237,6,black,g5d2,703.1,Bf4,953.05,-249.94999999999993,-2974.956
238,6,black,f4d2,516.0,Bxc7,724.2,-208.20000000000005,-2974.956
239,6,black,c7d8,-336.5,Bxd8,-336.55,0.0500000000000113,-2974.956
240,6,black,e8f8,-345.0,Be6,-332.9,-12.100000000000025,-2974.956
241,6,black,e8f8,-334.5,a5,-313.5,-21.0,-2974.956
242,6,black,e8e7,-266.2,Rc8,-221.9,-44.29999999999998,-2974.956
243,6,black,d8c7,-376.2,g5,-331.45,-44.75,-2974.956
244,6,black,g8g7,-613.1,Rxg7,-614.1,1.0,-2974.956
245,6,black,d8f6,-690.9,f5,-498.8,-192.09999999999997,-2974.956
246,6,black,e8f7,-313.8,Kf8,-266.0,-47.80000000000001,-2974.956
247,6,black,f8e8,-698.3,Kf7,-492.85,-205.44999999999993,-2974.956
248,6,black,d8f6,-457.1,Rxc4,-15.6,-441.5,-2974.956
249,6,black,f7e8,-517.3,Rxa4,-511.85,-5.449999999999932,-2974.956
250,6,black,a4a1,-4830.0,Rxa1+,206.3,-5036.3,-2974.956
251,6,black,d8c7,-2942.2,Rg6,-1821.85,-1120.35,-2974.956
252,6,black,a1e1,-891.4,Rg8,-727.45,-163.94999999999993,-2974.956
253,6,black,g5g4,-792.0,Rd1,-775.0,-17.0,-2974.956
254,6,black,d8c7,-886.5,Bf6,-787.55,-98.95000000000005,-2974.956
255,6,black,g5g4,-831.6,Rg7,-785.15,-46.450000000000045,-2974.956
256,6,black,f6e5,-18092.8,Rg8,-9392.95,-8699.849999999999,-2974.956
257,6,black,g5g4,-832.2,Rg6,-792.65,-39.55000000000007,-2974.956
258,6,black,d1e1,-951.9,Rxe1,-949.8,-2.1000000000000227,-2974.956
259,6,black,g6h6,-1025.7,Re6,-959.75,-65.95000000000005,-2974.956
260,6,black,g6h6,-971.9,gxf4,7410.45,-8382.35,-2974.956
261,6,black,g6h6,-19998.0,Rxh6+,2.0,-20000.0,-2974.956
262,6,black,f6d4,-19999.0,Re1+,2.75,-20001.75,-2974.956
263,6,black,e1e3,-19995.0,Re3,5.0,-20000.0,-2974.956
264,6,black,f6d4,-19995.2,a4,5.45,-20000.65,-2974.956
265,6,black,f6h4,-19997.0,b6,4.0,-20001.0,-2974.956
266,6,black,e3e1,-19992.5,b5,6.3,-19998.8,-2974.956
267,7,black,e7e5,35.1,e5,34.65,0.4500000000000028,-804.291
268,7,black,b8c6,34.5,Nc6,31.25,3.25,-804.291
269,7,black,d8g5,-459.2,Nge7,-210.9,-248.3,-804.291
270,7,black,d7d5,-169.9,Nf5,57.45,-227.35,-804.291
271,7,black,d8g5,-223.4,Bb4,-112.7,-110.7,-804.291
272,7,black,f5h4,-40.3,Nh4,-41.3,1.0,-804.291
273,7,black,d7d5,-373.8,Ng2+,-32.05,-341.75,-804.291
274,7,black,d7d5,317.1,O-O,337.6,-20.5,-804.291
275,7,black,c6e5,-0.4,Bxd2+,258.35,-258.75,-804.291
276,7,black,d2c1,290.1,Rb8,402.9,-112.79999999999995,-804.291
277,7,black,d2c1,-127.5,Bh6,117.85,-245.35,-804.291
278,7,black,c8g4,297.6,Qd6,508.65,-211.04999999999995,-804.291
279,7,black,d6e5,445.9,a5,525.4,-79.5,-804.291
280,7,black,d6e6,456.7,Bd2,524.1,-67.40000000000003,-804.291
281,7,black,c8g4,384.0,Be6,499.3,-115.3,-804.291
282,7,black,b8d8,787.3,Qd3+,892.6,-105.30000000000008,-804.291
283,7,black,d2c1,900.5,Rd8+,1060.3,-159.79999999999995,-804.291
284,7,black,d2c1,970.2,Rd7,1039.75,-69.54999999999995,-804.291
285,7,black,d2c1,939.4,Rd6,1014.55,-75.14999999999998,-804.291
286,7,black,d2c1,859.3,Rd5,981.95,-122.65000000000008,-804.291
287,7,black,d5d4,990.0,Rxd4+,990.7,-0.7000000000000455,-804.291
288,7,black,g7g5,1028.7,Rd3,1079.35,-50.649999999999864,-804.291
289,7,black,d3h3,909.6,Re3+,1041.55,-131.94999999999993,-804.291
290,7,black,e3h3,1090.8,Rxe4,1128.5,-37.700000000000045,-804.291
291,7,black,d2c1,992.0,Re1+,1060.05,-68.04999999999995,-804.291
292,7,black,d2e1,1128.2,Bxc1,10563.6,-9435.4,-804.291
293,7,black,g8f8,1149.2,Bh6,10574.1,-9424.9,-804.291
294,8,black,c7c5,32.1,e5,31.7,0.4000000000000021,-574.183
295,8,black,b8c6,33.4,Nc6,28.45,4.949999999999999,-574.183
296,8,black,c6e5,-292.3,Nxe5,-293.25,0.9499999999999886,-574.183
297,8,black,e5g6,-304.9,Nf6,-240.0,-64.89999999999998,-574.183
298,8,black,e5c6,-330.0,Nxd3+,-121.25,-208.75,-574.183
299,8,black,f8b4,94.3,Be7,118.9,-24.60000000000001,-574.183
300,8,black,e8g8,0.1,Bd6,18.6,-18.5,-574.183
301,8,black,f6e4,-105.1,Nxe4,-81.6,-23.5,-574.183
302,8,black,e4d2,-644.5,Qh4,-374.45,-270.05,-574.183
303,8,black,e4d2,-628.6,Bf4,-42.8,-585.8000000000001,-574.183
304,8,black,e4d2,-322.5,Qg4,152.3,-474.8,-574.183
305,8,black,e4d2,-422.6,b5,64.65,-487.25,-574.183
306,8,black,e4d2,-473.4,Nf6,65.05,-538.4499999999999,-574.183
307,8,black,g4e4,-18.5,Rb8,270.55,-289.05,-574.183
308,8,black,g4e6,512.9,d5,542.4,-29.5,-574.183
309,8,black,g4h5,-21.1,Nh5,1.4,-22.5,-574.183
310,8,black,g4e2,3.1,Kd8,30.0,-26.9,-574.183
311,8,black,h8e8,-1008.6,Rxe8+,-985.6,-23.0,-574.183
312,8,black,g4f4,-18101.2,Re1,-9391.45,-8709.75,-574.183
313,8,black,e1e6,-1065.3,Rf1,-923.45,-141.8499999999999,-574.183
314,8,black,g4f4,-19999.0,Bf5,-10387.05,-9611.95,-574.183
315,8,black,g4d4,-832.2,Rb5,-696.05,-136.1500000000001,-574.183
316,8,black,g4b4,-573.9,Be4,-479.05,-94.84999999999997,-574.183
317,8,black,g4g2,-436.5,Qg3,229.3,-665.8,-574.183
318,8,black,g3f2,-558.5,Qh3,65.8,-624.3,-574.183
319,8,black,h3h4,-434.2,Bg6,199.1,-633.3,-574.183
320,8,black,h3c3,-650.3,Bxc2,68.85,-719.15,-574.183
321,8,black,h3f5,-439.8,Ke7,191.85,-631.65,-574.183
322,8,black,h3f5,-414.1,Qe3+,220.1,-634.2,-574.183
323,8,black,g7g5,856.0,Kf8,886.2,-30.200000000000045,-574.183
324,8,black,f8e7,852.0,Bb1,922.0,-70.0,-574.183
325,8,black,b1g6,851.1,c5,914.0,-62.89999999999998,-574.183
326,8,black,b1f5,937.9,a5,963.95,-26.050000000000068,-574.183
327,8,black,d5d4,889.8,Nf6,922.65,-32.85000000000002,-574.183
328,8,black,b1g6,833.2,Kg8,882.15,-48.94999999999993,-574.183
329,8,black,d5d4,808.7,Nh5,899.3,-90.59999999999992,-574.183
330,8,black,h5f6,910.7,f6,976.2,-65.5,-574.183
331,8,black,b1e4,971.7,Bg6,991.7,-20.0,-574.183
332,8,black,g6h7,857.6,Bh5,956.35,-98.75,-574.183
333,8,black,g8h8,939.1,Kf7,995.8,-56.69999999999993,-574.183
334,8,black,h5g4,830.7,Bxg4,860.0,-29.299999999999955,-574.183
335,8,black,a5a4,880.5,Bc8,966.95,-86.45000000000005,-574.183
336,8,black,f7g8,830.4,Bf5,840.7,-10.300000000000068,-574.183
337,8,black,g7g5,821.1,Bh3,887.75,-66.64999999999998,-574.183
338,8,black,d5d4,861.3,Bf5,892.9,-31.600000000000023,-574.183
339,8,black,d5d4,773.8,Ke7,855.7,-81.90000000000009,-574.183
340,8,black,g7g5,891.6,Bh7,951.15,-59.549999999999955,-574.183
341,8,black,f6f5,1017.9,a4,1016.95,0.9499999999999318,-574.183
342,8,black,g7g5,-1027.3,g5,980.55,-2007.85,-574.183
343,8,black,e7f7,969.3,Kd7,1019.1,-49.80000000000007,-574.183
344,9,black,e7e5,35.7,e5,33.85,1.8500000000000016,-4888.802
345,9,black,g8f6,41.7,Nc6,38.55,3.1500000000000057,-4888.802
346,9,black,c6e5,-294.2,Nxe5,-294.45,0.25,-4888.802
347,9,black,e5g6,-304.8,Nf3+,-23.75,-281.05,-4888.802
348,9,black,f8c5,272.9,Nxe7,320.55,-47.650000000000034,-4888.802
349,9,black,e8f7,-590.8,Kxf7,-585.75,-5.0499999999999545,-4888.802
350,9,black,c7c6,-658.9,c5,-615.35,-43.549999999999955,-4888.802
351,9,black,f8e7,-668.8,d5,-542.75,-126.04999999999995,-4888.802
352,9,black,f8d6,-395.5,Qf6,31.45,-426.95,-4888.802
353,9,black,f8e7,-683.9,Rg8,-519.35,-164.54999999999995,-4888.802
354,9,black,f6c6,-644.7,Bh3,-504.6,-140.10000000000002,-4888.802
355,9,black,h3e6,-587.2,Rb8,-482.8,-104.40000000000003,-4888.802
356,9,black,f6c6,-619.4,Qxc6,-616.8,-2.6000000000000227,-4888.802
357,9,black,h3e6,-715.0,Rh8,-610.95,-104.04999999999995,-4888.802
358,9,black,c6e4,-752.4,Rg8,-649.45,-102.94999999999992,-4888.802
359,9,black,c6e4,-19995.0,Rd8,-10346.6,-9648.4,-4888.802
360,9,black,c6e4,-789.9,Rxd2,-657.6,-132.29999999999995,-4888.802
361,9,black,d2d3,-749.4,Bd6,-645.5,-103.89999999999998,-4888.802
362,9,black,h3e6,-540.4,Bxe6,-540.9,0.5,-4888.802
