Iteration,Puzzle ID,Method,Best Move Score,Qwen Move Score
28,3,Qwen:32B,75,50
29,3,Qwen:32B,75,50
30,3,Qwen:32B,75,50
31,3,Qwen:32B,75,50
32,3,Qwen:32B,75,50
33,3,Qwen:32B,75,50
34,3,Qwen:32B,75,50
35,3,Qwen:32B,75,50
36,3,Qwen:32B,75,50
37,3,Qwen:32B,75,50
38,3,Qwen:32B,75,50
39,3,Qwen:32B,75,50
40,3,Qwen:32B,75,50
41,3,Qwen:32B,75,50
42,3,Qwen:32B,75,-79
43,3,Qwen:32B,75,50
44,3,Qwen:32B,75,50
45,3,Qwen:32B,75,50
46,3,Qwen:32B,75,50
47,3,Qwen:32B,75,50
48,3,Qwen:32B,75,50
49,3,Qwen:32B,75,50
50,3,Qwen:32B,75,50
1,4,Qwen:32B,96,70
2,4,Qwen:32B,96,70
3,4,Qwen:32B,96,70
4,4,Qwen:32B,96,70
5,4,Qwen:32B,96,70
6,4,Qwen:32B,96,70
7,4,Qwen:32B,96,70
8,4,Qwen:32B,96,70
9,4,Qwen:32B,96,70
10,4,Qwen:32B,96,70
11,4,Qwen:32B,96,70
12,4,Qwen:32B,96,70
13,4,Qwen:32B,96,70
14,4,Qwen:32B,96,70
15,4,Qwen:32B,96,70
16,4,Qwen:32B,96,70
17,4,Qwen:32B,96,70
18,4,Qwen:32B,96,70
19,4,Qwen:32B,96,70
20,4,Qwen:32B,96,70
21,4,Qwen:32B,96,70
22,4,Qwen:32B,96,70
23,4,Qwen:32B,96,70
24,4,Qwen:32B,96,70
25,4,Qwen:32B,96,7
26,4,Qwen:32B,96,7
27,4,Qwen:32B,96,70
28,4,Qwen:32B,96,70
29,4,Qwen:32B,96,70
30,4,Qwen:32B,96,70
31,4,Qwen:32B,96,70
32,4,Qwen:32B,96,70
33,4,Qwen:32B,96,70
34,4,Qwen:32B,96,70
35,4,Qwen:32B,96,70
36,4,Qwen:32B,96,70
37,4,Qwen:32B,96,70
38,4,Qwen:32B,96,70
39,4,Qwen:32B,96,70
40,4,Qwen:32B,96,70
41,4,Qwen:32B,96,70
42,4,Qwen:32B,96,70
43,4,Qwen:32B,96,70
44,4,Qwen:32B,96,70
45,4,Qwen:32B,96,70
46,4,Qwen:32B,96,70
47,4,Qwen:32B,96,70
48,4,Qwen:32B,96,70
49,4,Qwen:32B,96,70
50,4,Qwen:32B,96,70
1,5,Qwen:32B,160,144
2,5,Qwen:32B,160,144
3,5,Qwen:32B,160,144
4,5,Qwen:32B,160,144
5,5,Qwen:32B,160,144
6,5,Qwen:32B,160,144
7,5,Qwen:32B,160,144
8,5,Qwen:32B,160,144
9,5,Qwen:32B,160,144
10,5,Qwen:32B,160,108
11,5,Qwen:32B,160,144
12,5,Qwen:32B,160,144
13,5,Qwen:32B,160,144
14,5,Qwen:32B,160,144
15,5,Qwen:32B,160,144
16,5,Qwen:32B,160,144
17,5,Qwen:32B,160,144
18,5,Qwen:32B,160,108
19,5,Qwen:32B,160,144
20,5,Qwen:32B,160,144
21,5,Qwen:32B,160,144
22,5,Qwen:32B,160,144
23,5,Qwen:32B,160,144
24,5,Qwen:32B,160,144
25,5,Qwen:32B,160,144
26,5,Qwen:32B,160,144
27,5,Qwen:32B,160,144
28,5,Qwen:32B,160,144
29,5,Qwen:32B,160,144
30,5,Qwen:32B,160,144
31,5,Qwen:32B,160,144
32,5,Qwen:32B,160,144
33,5,Qwen:32B,160,144
34,5,Qwen:32B,160,144
35,5,Qwen:32B,160,144
36,5,Qwen:32B,160,144
37,5,Qwen:32B,160,144
38,5,Qwen:32B,160,144
39,5,Qwen:32B,160,144
40,5,Qwen:32B,160,108
41,5,Qwen:32B,160,144
42,5,Qwen:32B,160,144
43,5,Qwen:32B,160,144
44,5,Qwen:32B,160,144
45,5,Qwen:32B,160,144
46,5,Qwen:32B,160,144
47,5,Qwen:32B,160,144
48,5,Qwen:32B,160,144
49,5,Qwen:32B,160,144
50,5,Qwen:32B,160,144
1,6,Qwen:32B,73,-58
2,6,Qwen:32B,73,68
3,6,Qwen:32B,73,-58
4,6,Qwen:32B,73,68
5,6,Qwen:32B,73,68
6,6,Qwen:32B,73,68
7,6,Qwen:32B,73,68
8,6,Qwen:32B,73,68
9,6,Qwen:32B,73,68
10,6,Qwen:32B,73,68
11,6,Qwen:32B,73,68
12,6,Qwen:32B,73,68
13,6,Qwen:32B,73,68
14,6,Qwen:32B,73,68
15,6,Qwen:32B,73,68
16,6,Qwen:32B,73,68
17,6,Qwen:32B,73,68
18,6,Qwen:32B,73,68
19,6,Qwen:32B,73,68
20,6,Qwen:32B,73,68
21,6,Qwen:32B,73,68
22,6,Qwen:32B,73,68
23,6,Qwen:32B,73,68
24,6,Qwen:32B,73,-58
25,6,Qwen:32B,73,68
26,6,Qwen:32B,73,68
27,6,Qwen:32B,73,68
28,6,Qwen:32B,73,68
29,6,Qwen:32B,73,68
30,6,Qwen:32B,73,68
31,6,Qwen:32B,73,68
32,6,Qwen:32B,73,68
33,6,Qwen:32B,73,68
34,6,Qwen:32B,73,68
35,6,Qwen:32B,73,68
36,6,Qwen:32B,73,68
37,6,Qwen:32B,73,68
38,6,Qwen:32B,73,68
39,6,Qwen:32B,73,68
40,6,Qwen:32B,73,68
41,6,Qwen:32B,73,68
42,6,Qwen:32B,73,68
43,6,Qwen:32B,73,68
44,6,Qwen:32B,73,68
45,6,Qwen:32B,73,68
46,6,Qwen:32B,73,68
47,6,Qwen:32B,73,68
48,6,Qwen:32B,73,-58
49,6,Qwen:32B,73,68
50,6,Qwen:32B,73,68
1,7,Qwen:32B,205,106
2,7,Qwen:32B,205,106
3,7,Qwen:32B,205,106
4,7,Qwen:32B,205,106
5,7,Qwen:32B,205,106
6,7,Qwen:32B,205,106
7,7,Qwen:32B,205,106
8,7,Qwen:32B,205,106
9,7,Qwen:32B,205,106
10,7,Qwen:32B,205,68
11,7,Qwen:32B,205,68
12,7,Qwen:32B,205,106
13,7,Qwen:32B,205,106
14,7,Qwen:32B,205,106
15,7,Qwen:32B,205,106
16,7,Qwen:32B,205,106
17,7,Qwen:32B,205,106
18,7,Qwen:32B,205,106
19,7,Qwen:32B,205,106
20,7,Qwen:32B,205,106
21,7,Qwen:32B,205,106
22,7,Qwen:32B,205,106
23,7,Qwen:32B,205,106
24,7,Qwen:32B,205,106
25,7,Qwen:32B,205,106
26,7,Qwen:32B,205,106
27,7,Qwen:32B,205,106
28,7,Qwen:32B,205,106
29,7,Qwen:32B,205,106
30,7,Qwen:32B,205,106
31,7,Qwen:32B,205,106
32,7,Qwen:32B,205,106
33,7,Qwen:32B,205,106
34,7,Qwen:32B,205,106
35,7,Qwen:32B,205,106
36,7,Qwen:32B,205,106
37,7,Qwen:32B,205,106
38,7,Qwen:32B,205,106
39,7,Qwen:32B,205,106
40,7,Qwen:32B,205,106
41,7,Qwen:32B,205,106
42,7,Qwen:32B,205,106
43,7,Qwen:32B,205,106
44,7,Qwen:32B,205,106
45,7,Qwen:32B,205,106
46,7,Qwen:32B,205,106
47,7,Qwen:32B,205,106
48,7,Qwen:32B,205,106
49,7,Qwen:32B,205,106
50,7,Qwen:32B,205,106
1,8,Qwen:32B,135,108
2,8,Qwen:32B,135,108
3,8,Qwen:32B,135,108
4,8,Qwen:32B,135,108
5,8,Qwen:32B,135,108
6,8,Qwen:32B,135,108
7,8,Qwen:32B,135,108
8,8,Qwen:32B,135,108
9,8,Qwen:32B,135,108
10,8,Qwen:32B,135,108
11,8,Qwen:32B,135,108
12,8,Qwen:32B,135,108
13,8,Qwen:32B,135,108
14,8,Qwen:32B,135,108
15,8,Qwen:32B,135,108
16,8,Qwen:32B,135,108
17,8,Qwen:32B,135,108
18,8,Qwen:32B,135,108
19,8,Qwen:32B,135,108
20,8,Qwen:32B,135,108
21,8,Qwen:32B,135,108
22,8,Qwen:32B,135,-24
23,8,Qwen:32B,135,108
24,8,Qwen:32B,135,108
25,8,Qwen:32B,135,108
26,8,Qwen:32B,135,108
27,8,Qwen:32B,135,108
28,8,Qwen:32B,135,108
29,8,Qwen:32B,135,108
30,8,Qwen:32B,135,108
31,8,Qwen:32B,135,108
32,8,Qwen:32B,135,108
33,8,Qwen:32B,135,108
34,8,Qwen:32B,135,108
35,8,Qwen:32B,135,108
36,8,Qwen:32B,135,108
37,8,Qwen:32B,135,108
38,8,Qwen:32B,135,-24
39,8,Qwen:32B,135,108
40,8,Qwen:32B,135,108
41,8,Qwen:32B,135,108
42,8,Qwen:32B,135,108
43,8,Qwen:32B,135,108
44,8,Qwen:32B,135,108
45,8,Qwen:32B,135,108
46,8,Qwen:32B,135,108
47,8,Qwen:32B,135,108
48,8,Qwen:32B,135,-24
49,8,Qwen:32B,135,108
50,8,Qwen:32B,135,108
1,9,Qwen:32B,126,125
2,9,Qwen:32B,126,125
3,9,Qwen:32B,126,125
4,9,Qwen:32B,126,125
5,9,Qwen:32B,126,125
6,9,Qwen:32B,126,125
7,9,Qwen:32B,126,125
8,9,Qwen:32B,126,125
9,9,Qwen:32B,126,125
10,9,Qwen:32B,126,125
11,9,Qwen:32B,126,-20
12,9,Qwen:32B,126,125
13,9,Qwen:32B,126,125
14,9,Qwen:32B,126,125
15,9,Qwen:32B,126,-20
16,9,Qwen:32B,126,-20
17,9,Qwen:32B,126,-20
18,9,Qwen:32B,126,125
19,9,Qwen:32B,126,125
20,9,Qwen:32B,126,125
21,9,Qwen:32B,126,125
22,9,Qwen:32B,126,125
23,9,Qwen:32B,126,125
24,9,Qwen:32B,126,125
25,9,Qwen:32B,126,125
26,9,Qwen:32B,126,-20
27,9,Qwen:32B,126,-20
28,9,Qwen:32B,126,125
29,9,Qwen:32B,126,125
30,9,Qwen:32B,126,-20
31,9,Qwen:32B,126,125
32,9,Qwen:32B,126,-20
33,9,Qwen:32B,126,125
34,9,Qwen:32B,126,125
35,9,Qwen:32B,126,125
36,9,Qwen:32B,126,125
37,9,Qwen:32B,126,-20
38,9,Qwen:32B,126,125
39,9,Qwen:32B,126,-20
40,9,Qwen:32B,126,125
41,9,Qwen:32B,126,125
42,9,Qwen:32B,126,125
43,9,Qwen:32B,126,125
44,9,Qwen:32B,126,125
45,9,Qwen:32B,126,125
46,9,Qwen:32B,126,125
47,9,Qwen:32B,126,-20
48,9,Qwen:32B,126,125
49,9,Qwen:32B,126,125
50,9,Qwen:32B,126,125
1,10,Qwen:32B,86,86
2,10,Qwen:32B,86,86
3,10,Qwen:32B,86,86
4,10,Qwen:32B,86,86
5,10,Qwen:32B,86,86
6,10,Qwen:32B,86,86
7,10,Qwen:32B,86,86
8,10,Qwen:32B,86,86
9,10,Qwen:32B,86,86
10,10,Qwen:32B,86,86
11,10,Qwen:32B,86,86
12,10,Qwen:32B,86,86
13,10,Qwen:32B,86,86
14,10,Qwen:32B,86,86
15,10,Qwen:32B,86,86
16,10,Qwen:32B,86,86
17,10,Qwen:32B,86,86
18,10,Qwen:32B,86,-59
19,10,Qwen:32B,86,-59
20,10,Qwen:32B,86,86
21,10,Qwen:32B,86,86
22,10,Qwen:32B,86,86
23,10,Qwen:32B,86,86
24,10,Qwen:32B,86,86
25,10,Qwen:32B,86,86
26,10,Qwen:32B,86,86
27,10,Qwen:32B,86,86
28,10,Qwen:32B,86,86
29,10,Qwen:32B,86,86
30,10,Qwen:32B,86,86
31,10,Qwen:32B,86,86
32,10,Qwen:32B,86,86
33,10,Qwen:32B,86,86
34,10,Qwen:32B,86,86
35,10,Qwen:32B,86,86
36,10,Qwen:32B,86,86
37,10,Qwen:32B,86,86
38,10,Qwen:32B,86,86
39,10,Qwen:32B,86,-59
40,10,Qwen:32B,86,86
41,10,Qwen:32B,86,86
42,10,Qwen:32B,86,86
43,10,Qwen:32B,86,86
44,10,Qwen:32B,86,-59
45,10,Qwen:32B,86,86
46,10,Qwen:32B,86,86
47,10,Qwen:32B,86,86
48,10,Qwen:32B,86,86
49,10,Qwen:32B,86,86
50,10,Qwen:32B,86,86
1,11,Qwen:32B,115,109
2,11,Qwen:32B,115,109
3,11,Qwen:32B,115,109
4,11,Qwen:32B,115,109
5,11,Qwen:32B,115,109
6,11,Qwen:32B,115,109
7,11,Qwen:32B,115,109
8,11,Qwen:32B,115,109
9,11,Qwen:32B,115,109
10,11,Qwen:32B,115,109
11,11,Qwen:32B,115,109
12,11,Qwen:32B,115,109
13,11,Qwen:32B,115,1
14,11,Qwen:32B,115,109
15,11,Qwen:32B,115,109
16,11,Qwen:32B,115,109
17,11,Qwen:32B,115,109
18,11,Qwen:32B,115,109
19,11,Qwen:32B,115,109
20,11,Qwen:32B,115,109
21,11,Qwen:32B,115,109
22,11,Qwen:32B,115,109
23,11,Qwen:32B,115,109
24,11,Qwen:32B,115,109
25,11,Qwen:32B,115,109
26,11,Qwen:32B,115,109
27,11,Qwen:32B,115,109
28,11,Qwen:32B,115,109
29,11,Qwen:32B,115,109
30,11,Qwen:32B,115,109
31,11,Qwen:32B,115,109
32,11,Qwen:32B,115,1
33,11,Qwen:32B,115,109
34,11,Qwen:32B,115,109
35,11,Qwen:32B,115,109
36,11,Qwen:32B,115,109
37,11,Qwen:32B,115,109
38,11,Qwen:32B,115,109
39,11,Qwen:32B,115,109
40,11,Qwen:32B,115,109
41,11,Qwen:32B,115,109
42,11,Qwen:32B,115,109
43,11,Qwen:32B,115,109
44,11,Qwen:32B,115,109
45,11,Qwen:32B,115,109
46,11,Qwen:32B,115,109
47,11,Qwen:32B,115,109
48,11,Qwen:32B,115,109
49,11,Qwen:32B,115,1
50,11,Qwen:32B,115,109
1,12,Qwen:32B,499,134
2,12,Qwen:32B,499,134
3,12,Qwen:32B,499,134
4,12,Qwen:32B,499,134
5,12,Qwen:32B,499,134
6,12,Qwen:32B,499,134
7,12,Qwen:32B,499,134
8,12,Qwen:32B,499,134
9,12,Qwen:32B,499,134
10,12,Qwen:32B,499,134
11,12,Qwen:32B,499,134
12,12,Qwen:32B,499,134
13,12,Qwen:32B,499,134
14,12,Qwen:32B,499,134
15,12,Qwen:32B,499,134
16,12,Qwen:32B,499,134
17,12,Qwen:32B,499,134
18,12,Qwen:32B,499,134
19,12,Qwen:32B,499,134
20,12,Qwen:32B,499,120
21,12,Qwen:32B,499,134
22,12,Qwen:32B,499,112
23,12,Qwen:32B,499,112
24,12,Qwen:32B,499,134
25,12,Qwen:32B,499,120
26,12,Qwen:32B,499,134
27,12,Qwen:32B,499,134
28,12,Qwen:32B,499,134
29,12,Qwen:32B,499,134
30,12,Qwen:32B,499,134
31,12,Qwen:32B,499,134
32,12,Qwen:32B,499,112
33,12,Qwen:32B,499,134
34,12,Qwen:32B,499,120
35,12,Qwen:32B,499,134
36,12,Qwen:32B,499,134
37,12,Qwen:32B,499,134
38,12,Qwen:32B,499,112
39,12,Qwen:32B,499,134
40,12,Qwen:32B,499,134
41,12,Qwen:32B,499,134
42,12,Qwen:32B,499,134
43,12,Qwen:32B,499,134
44,12,Qwen:32B,499,120
45,12,Qwen:32B,499,134
46,12,Qwen:32B,499,134
47,12,Qwen:32B,499,134
48,12,Qwen:32B,499,134
49,12,Qwen:32B,499,134
50,12,Qwen:32B,499,134
1,13,Qwen:32B,385,227
2,13,Qwen:32B,385,200
3,13,Qwen:32B,385,227
4,13,Qwen:32B,385,227
5,13,Qwen:32B,385,200
6,13,Qwen:32B,385,200
7,13,Qwen:32B,385,227
8,13,Qwen:32B,385,200
9,13,Qwen:32B,385,227
10,13,Qwen:32B,385,227
11,13,Qwen:32B,385,200
12,13,Qwen:32B,385,200
13,13,Qwen:32B,385,200
14,13,Qwen:32B,385,227
15,13,Qwen:32B,385,227
16,13,Qwen:32B,385,227
17,13,Qwen:32B,385,200
18,13,Qwen:32B,385,200
19,13,Qwen:32B,385,227
20,13,Qwen:32B,385,200
21,13,Qwen:32B,385,200
22,13,Qwen:32B,385,227
23,13,Qwen:32B,385,227
24,13,Qwen:32B,385,200
25,13,Qwen:32B,385,227
26,13,Qwen:32B,385,227
27,13,Qwen:32B,385,227
28,13,Qwen:32B,385,200
29,13,Qwen:32B,385,227
30,13,Qwen:32B,385,200
31,13,Qwen:32B,385,227
32,13,Qwen:32B,385,200
33,13,Qwen:32B,385,200
34,13,Qwen:32B,385,227
35,13,Qwen:32B,385,227
36,13,Qwen:32B,385,200
37,13,Qwen:32B,385,200
38,13,Qwen:32B,385,227
39,13,Qwen:32B,385,200
40,13,Qwen:32B,385,227
41,13,Qwen:32B,385,200
42,13,Qwen:32B,385,200
43,13,Qwen:32B,385,200
44,13,Qwen:32B,385,227
45,13,Qwen:32B,385,200
46,13,Qwen:32B,385,200
47,13,Qwen:32B,385,227
48,13,Qwen:32B,385,227
49,13,Qwen:32B,385,200
50,13,Qwen:32B,385,200
1,14,Qwen:32B,466,33
2,14,Qwen:32B,466,33
3,14,Qwen:32B,466,33
4,14,Qwen:32B,466,140
5,14,Qwen:32B,466,140
6,14,Qwen:32B,466,33
7,14,Qwen:32B,466,140
8,14,Qwen:32B,466,140
9,14,Qwen:32B,466,140
10,14,Qwen:32B,466,140
11,14,Qwen:32B,466,140
12,14,Qwen:32B,466,140
13,14,Qwen:32B,466,140
14,14,Qwen:32B,466,140
15,14,Qwen:32B,466,33
16,14,Qwen:32B,466,140
17,14,Qwen:32B,466,140
18,14,Qwen:32B,466,140
19,14,Qwen:32B,466,33
20,14,Qwen:32B,466,140
21,14,Qwen:32B,466,33
22,14,Qwen:32B,466,33
23,14,Qwen:32B,466,33
24,14,Qwen:32B,466,140
25,14,Qwen:32B,466,140
26,14,Qwen:32B,466,140
27,14,Qwen:32B,466,140
28,14,Qwen:32B,466,33
29,14,Qwen:32B,466,140
30,14,Qwen:32B,466,140
31,14,Qwen:32B,466,140
32,14,Qwen:32B,466,140
33,14,Qwen:32B,466,140
34,14,Qwen:32B,466,33
35,14,Qwen:32B,466,33
36,14,Qwen:32B,466,33
37,14,Qwen:32B,466,140
38,14,Qwen:32B,466,33
39,14,Qwen:32B,466,33
40,14,Qwen:32B,466,33
41,14,Qwen:32B,466,140
42,14,Qwen:32B,466,140
43,14,Qwen:32B,466,140
44,14,Qwen:32B,466,140
45,14,Qwen:32B,466,140
46,14,Qwen:32B,466,33
47,14,Qwen:32B,466,140
48,14,Qwen:32B,466,140
49,14,Qwen:32B,466,33
50,14,Qwen:32B,466,140
1,15,Qwen:32B,354,125
2,15,Qwen:32B,354,-166
3,15,Qwen:32B,354,125
4,15,Qwen:32B,354,125
5,15,Qwen:32B,354,125
6,15,Qwen:32B,354,-166
7,15,Qwen:32B,354,125
8,15,Qwen:32B,354,125
9,15,Qwen:32B,354,125
10,15,Qwen:32B,354,125
11,15,Qwen:32B,354,125
12,15,Qwen:32B,354,125
13,15,Qwen:32B,354,125
14,15,Qwen:32B,354,125
15,15,Qwen:32B,354,125
16,15,Qwen:32B,354,125
17,15,Qwen:32B,354,-166
18,15,Qwen:32B,354,125
19,15,Qwen:32B,354,125
20,15,Qwen:32B,354,125
21,15,Qwen:32B,354,-166
22,15,Qwen:32B,354,125
23,15,Qwen:32B,354,125
24,15,Qwen:32B,354,125
25,15,Qwen:32B,354,125
26,15,Qwen:32B,354,125
27,15,Qwen:32B,354,125
28,15,Qwen:32B,354,125
29,15,Qwen:32B,354,125
30,15,Qwen:32B,354,125
31,15,Qwen:32B,354,125
32,15,Qwen:32B,354,125
33,15,Qwen:32B,354,125
34,15,Qwen:32B,354,125
35,15,Qwen:32B,354,125
36,15,Qwen:32B,354,125
37,15,Qwen:32B,354,125
38,15,Qwen:32B,354,125
39,15,Qwen:32B,354,-166
40,15,Qwen:32B,354,125
41,15,Qwen:32B,354,125
42,15,Qwen:32B,354,125
43,15,Qwen:32B,354,125
44,15,Qwen:32B,354,125
45,15,Qwen:32B,354,125
46,15,Qwen:32B,354,-166
47,15,Qwen:32B,354,125
48,15,Qwen:32B,354,125
49,15,Qwen:32B,354,125
50,15,Qwen:32B,354,125
1,16,Qwen:32B,415,56
2,16,Qwen:32B,415,56
3,16,Qwen:32B,415,56
4,16,Qwen:32B,415,-79
5,16,Qwen:32B,415,-79
6,16,Qwen:32B,415,56
7,16,Qwen:32B,415,56
8,16,Qwen:32B,415,56
9,16,Qwen:32B,415,56
10,16,Qwen:32B,415,-79
11,16,Qwen:32B,415,56
12,16,Qwen:32B,415,56
13,16,Qwen:32B,415,-79
14,16,Qwen:32B,415,56
15,16,Qwen:32B,415,56
16,16,Qwen:32B,415,56
17,16,Qwen:32B,415,-79
18,16,Qwen:32B,415,56
19,16,Qwen:32B,415,-79
20,16,Qwen:32B,415,56
21,16,Qwen:32B,415,56
22,16,Qwen:32B,415,56
23,16,Qwen:32B,415,56
24,16,Qwen:32B,415,56
25,16,Qwen:32B,415,56
26,16,Qwen:32B,415,56
27,16,Qwen:32B,415,56
28,16,Qwen:32B,415,56
29,16,Qwen:32B,415,56
30,16,Qwen:32B,415,56
31,16,Qwen:32B,415,56
32,16,Qwen:32B,415,56
33,16,Qwen:32B,415,56
34,16,Qwen:32B,415,56
35,16,Qwen:32B,415,56
36,16,Qwen:32B,415,56
37,16,Qwen:32B,415,56
38,16,Qwen:32B,415,56
39,16,Qwen:32B,415,56
40,16,Qwen:32B,415,-79
41,16,Qwen:32B,415,56
42,16,Qwen:32B,415,-79
43,16,Qwen:32B,415,56
44,16,Qwen:32B,415,56
45,16,Qwen:32B,415,-79
46,16,Qwen:32B,415,56
47,16,Qwen:32B,415,56
48,16,Qwen:32B,415,56
49,16,Qwen:32B,415,56
50,16,Qwen:32B,415,56
1,17,Qwen:32B,455,122
2,17,Qwen:32B,455,122
3,17,Qwen:32B,455,53
4,17,Qwen:32B,455,122
5,17,Qwen:32B,455,122
6,17,Qwen:32B,455,53
7,17,Qwen:32B,455,122
8,17,Qwen:32B,455,122
9,17,Qwen:32B,455,122
10,17,Qwen:32B,455,53
11,17,Qwen:32B,455,122
12,17,Qwen:32B,455,122
13,17,Qwen:32B,455,53
14,17,Qwen:32B,455,53
15,17,Qwen:32B,455,122
16,17,Qwen:32B,455,53
17,17,Qwen:32B,455,122
18,17,Qwen:32B,455,122
19,17,Qwen:32B,455,53
20,17,Qwen:32B,455,53
21,17,Qwen:32B,455,53
22,17,Qwen:32B,455,122
23,17,Qwen:32B,455,122
24,17,Qwen:32B,455,122
25,17,Qwen:32B,455,122
26,17,Qwen:32B,455,122
27,17,Qwen:32B,455,122
28,17,Qwen:32B,455,122
29,17,Qwen:32B,455,53
30,17,Qwen:32B,455,53
31,17,Qwen:32B,455,122
32,17,Qwen:32B,455,122
33,17,Qwen:32B,455,53
34,17,Qwen:32B,455,122
35,17,Qwen:32B,455,122
36,17,Qwen:32B,455,53
37,17,Qwen:32B,455,122
38,17,Qwen:32B,455,122
39,17,Qwen:32B,455,122
40,17,Qwen:32B,455,122
41,17,Qwen:32B,455,122
42,17,Qwen:32B,455,122
43,17,Qwen:32B,455,122
44,17,Qwen:32B,455,53
45,17,Qwen:32B,455,122
46,17,Qwen:32B,455,122
47,17,Qwen:32B,455,122
48,17,Qwen:32B,455,122
49,17,Qwen:32B,455,122
50,17,Qwen:32B,455,122
1,18,Qwen:32B,478,111
2,18,Qwen:32B,478,111
3,18,Qwen:32B,478,111
4,18,Qwen:32B,478,60
5,18,Qwen:32B,478,111
6,18,Qwen:32B,478,111
7,18,Qwen:32B,478,111
8,18,Qwen:32B,478,111
9,18,Qwen:32B,478,60
10,18,Qwen:32B,478,111
11,18,Qwen:32B,478,111
12,18,Qwen:32B,478,111
13,18,Qwen:32B,478,111
14,18,Qwen:32B,478,111
